YYYYMMDD,   TG,   TN,   TX,   SQ,   DR,   RH,   NG
  20080814,  151,   95,  206,   70,    7,    1,    3
  20080815,  147,   83,  212,  108,    5,   40,    1
  20080816,  159,   68,  228,  109,    0,    0,    2
  20080817,  163,  132,  218,    9,   15,   90,    8
  20080818,  161,  135,  191,    5,   96,  132,    8
  20080819,  175,  148,  220,   40,    7,   45,    7
  20080820,  167,  142,  193,   22,   41,   57,    8
  20080821,  170,  141,  206,   42,    3,   18,    6
  20080822,  145,   90,  199,    5,   56,   64,    7
  20080823,  148,  107,  195,   91,   29,  132,    6
  20080824,  152,   89,  201,   18,   13,    3,    6
  20080825,  180,  144,  220,   59,    0,   -1,    7
  20080826,  175,  165,  193,    0,    0,   -1,    8
  20080827,  168,  156,  181,    0,   10,    1,    8
  20080828,  178,  164,  197,    0,    0,    0,    8
  20080829,  182,  118,  232,   77,    0,    0,    4
  20080830,  187,  118,  249,  127,    0,    0,    0
  20080831,  207,  134,  275,  105,    0,   -1,    1
  20080901,  171,  131,  204,   46,    0,   -1,    5
  20080902,  151,  114,  186,    0,   66,   75,    7
  20080903,  139,  111,  173,   10,    2,    2,    5
  20080904,  154,  119,  193,   68,    0,    0,    5
  20080905,  161,  127,  193,    6,   42,   42,    8
  20080906,  174,  146,  206,   46,    2,    6,    5
  20080907,  151,  137,  169,    4,   42,   66,    7
  20080908,  148,  110,  182,   16,   37,   67,    7
  20080909,  173,  100,  233,  101,   15,   29,    4
  20080910,  180,  147,  226,   62,    0,    0,    5
  20080911,  201,  147,  264,   87,    2,   51,    4
  20080912,  163,  139,  200,   10,   89,  375,    8
  20080913,  129,   87,  164,   31,   18,    9,    5
  20080914,  119,   64,  174,  106,    0,    0,    1
  20080915,  118,   83,  167,   70,    0,    0,    4
  20080916,  124,   75,  165,   12,    0,    0,    8
  20080917,  112,   68,  160,   17,    0,    0,    5
  20080918,   99,   37,  166,  106,    0,    0,    0
  20080919,  102,   39,  172,   81,    0,    0,    2
  20080920,  106,   32,  181,  114,    0,    0,    0
  20080921,  126,   57,  176,   40,    0,    0,    5
  20080922,  133,  100,  167,   19,    0,   -1,    8
  20080923,  132,  121,  155,    1,   36,   18,    8
  20080924,  130,   94,  164,    8,    0,   -1,    6
  20080925,  117,   77,  176,   97,    0,    0,    1
  20080926,  116,   56,  184,  107,    0,    0,    0
  20080927,  104,   32,  196,  108,    0,    0,    0
  20080928,  110,   37,  186,   81,    7,    2,    4
  20080929,  116,   90,  142,   13,   44,   42,    7
  20080930,  124,  107,  137,    0,  176,  216,    8
  20081001,  121,   92,  152,   45,   78,  183,    7
  20081002,   94,   69,  129,   51,   51,  128,    6
  20081003,   84,   40,  123,   85,   20,   29,    5
  20081004,   91,   36,  114,   22,   25,    8,    6
  20081005,  113,   93,  124,    0,  197,  186,    8
  20081006,  110,   90,  150,   22,    0,   -1,    7
  20081007,  144,  108,  166,   26,    3,    1,    7
  20081008,  125,   53,  160,   25,   33,   11,    5
  20081009,   93,   35,  170,   87,    0,    0,    1
  20081010,  112,   47,  162,   75,    0,    0,    2
  20081011,  136,   97,  184,   78,    0,    0,    2
  20081012,  134,  120,  163,   40,    0,    0,    6
  20081013,  158,  102,  212,   65,    0,   -1,    5
  20081014,  150,  135,  177,   48,    0,   -1,    7
  20081015,  138,  116,  157,    0,   39,   54,    8
  20081016,  109,   78,  144,   37,   20,   50,    5
  20081017,   88,   37,  137,   46,   17,   14,    4
  20081018,  102,   42,  143,   45,    0,    0,    6
  20081019,  113,   92,  150,   25,    0,    0,    5
  20081020,  129,   83,  170,   73,    0,   -1,    5
  20081021,  100,   50,  154,   28,   86,   82,    6
  20081022,   85,   38,  134,   50,    0,    0,    4
  20081023,   94,   43,  140,   81,    0,    0,    3
  20081024,   89,   33,  106,    0,   74,   55,    7
  20081025,   80,   21,  132,   80,    0,    0,    4
  20081026,  119,  104,  130,    0,   94,   99,    8
  20081027,   85,   44,  119,   66,    0,   -1,    4
  20081028,   42,   -8,   80,   32,   28,   15,    4
  20081029,   12,  -19,   75,   37,    0,    0,    4
  20081030,   26,  -19,   66,   35,    0,   -1,    6
  20081031,   49,   15,   75,   33,    0,    0,    7
  20081101,   63,   51,   75,    0,   52,   32,    7
  20081102,   84,   34,  113,   33,    0,   -1,    5
  20081103,   80,   53,   92,    0,    0,   -1,    8
  20081104,   68,   46,   85,    0,    0,    0,    8
  20081105,   90,   75,  100,    0,   26,    5,    8
  20081106,  100,   82,  122,   36,    3,    1,    6
  20081107,   90,   51,  125,   37,   17,    5,    5
  20081108,   91,   53,  124,   78,    0,   -1,    2
  20081109,  101,   88,  115,   19,   21,   50,    6
  20081110,  129,  104,  152,    0,   68,  170,    8
  20081111,   94,   71,  111,   37,   73,  184,    5
  20081112,   82,   61,  107,   27,    7,    7,    5
  20081113,   84,   47,  116,   43,    2,    1,    4
  20081114,   98,   83,  110,    0,   65,    8,    8
  20081115,  113,  102,  125,    0,   39,   30,    8
  20081116,   82,   23,  116,    8,    0,   -1,    6
  20081117,   63,   15,  109,   35,    5,    1,    7
  20081118,   74,   52,  100,    9,   31,   13,    7
  20081119,   92,   72,  108,    6,    0,    0,    7
  20081120,   98,   68,  118,    8,   58,   56,    8
  20081121,   52,    8,   91,   36,   71,   94,    6
  20081122,   18,    4,   50,   36,   42,   79,    5
  20081123,    8,   -2,   23,    9,   77,   35,    6
  20081124,    8,  -17,   30,   28,   48,   39,    5
  20081125,   23,  -19,   73,   38,    2,    2,    3
  20081126,   47,  -23,   79,    0,   26,    7,    7
  20081127,   63,   50,   68,    0,    0,   -1,    8
  20081128,   37,   32,   50,    0,    0,    0,    8
  20081129,   19,  -19,   36,   12,    8,    2,    6
  20081130,    5,  -22,   26,    0,  101,   84,    7
  20081201,   37,   18,   55,    5,    0,   -1,    8
  20081202,   36,    9,   62,   21,   40,   51,    6
  20081203,   23,   -7,   55,   35,    7,   12,    4
  20081204,   26,    4,   54,    2,   44,   38,    7
  20081205,   52,   23,   66,    8,    0,   -1,    7
  20081206,   56,   28,   90,   40,    8,    4,    7
  20081207,   48,    1,   89,   65,    0,   -1,    2
  20081208,   20,    0,   42,   25,    0,    0,    5
  20081209,   17,   -3,   44,   10,   47,   26,    6
  20081210,   20,  -18,   54,   50,   27,   28,    4
  20081211,   31,   17,   37,    0,    2,    2,    8
  20081212,   16,   -8,   36,   23,    0,    0,    7
  20081213,   -5,  -24,    6,   61,    0,    0,    1
  20081214,   23,    0,   63,   20,    0,    0,    4
  20081215,   22,  -15,   41,    0,    0,    0,    7
  20081216,    0,  -15,   16,    0,    0,    0,    8
  20081217,   23,   -8,   68,   26,    0,   -1,    6
  20081218,   43,  -16,   81,    0,    0,   -1,    7
  20081219,   63,   46,   82,   54,   57,   55,    5
  20081220,   86,   62,  107,    0,   18,    9,    7
  20081221,   89,   65,  100,    0,   22,   11,    8
  20081222,   77,   10,  104,   29,   19,    6,    5
  20081223,   51,   19,   83,   12,    0,   -1,    8
  20081224,   66,   37,   82,    0,   10,    1,    7
  20081225,   36,    4,   62,    3,    0,    0,    5
  20081226,   -9,  -30,   14,   65,    0,    0,    0
  20081227,  -22,  -44,    5,   66,    0,    0,    0
  20081228,  -28,  -51,   -1,   66,    0,    0,    1
  20081229,  -38,  -58,   -2,   66,    0,    0,    0
  20081230,  -44,  -79,    5,   66,    0,    0,    0
  20081231,  -56,  -87,  -28,   31,    0,   -1,    4
  20090101,   -6,  -28,    5,    2,    0,    0,    8
  20090102,   -8,  -72,   19,   10,    6,    5,    5
  20090103,  -27,  -89,   16,    0,    0,   -1,    6
  20090104,   23,   13,   35,    0,  104,   40,    8
  20090105,  -12,  -46,   15,   38,   38,   21,    5
  20090106,  -59,  -96,  -13,   68,    0,    0,    0
  20090107,   -8,  -67,   35,   11,   11,    2,    7
  20090108,  -45,  -73,  -31,    0,    0,   -1,    7
  20090109,  -69, -103,  -16,   65,    0,   -1,    0
  20090110,  -68, -105,  -36,   68,    0,    0,    0
  20090111,  -11,  -60,   24,   69,    0,    0,    2
  20090112,   39,   14,   58,    2,   36,   24,    7
  20090113,   46,   39,   52,    0,   83,   40,    8
  20090114,   41,   25,   63,   10,    0,   -1,    8
  20090115,   26,   10,   50,   69,    0,    0,    5
  20090116,   17,    1,   37,    0,    0,   -1,    8
